日付,ライブタイトル,会場名
2025-05-25,Killer Tune SHIBUYA 2025 Vol.61,SHIBUYA CYCLONE / GARRET udagawa
2025-05-25,遊撃少女,代官山SpaceODD
2025-05-28,chemical reaction Vol.46,心斎橋VARON
2025-05-29,すまいる0円ᵕ̈*vol.8 -祝1周年-,ナンバーゲート
2025-05-30,白黒アリスpre 奴隷姫,FANJ Twice
2025-05-31,mistFES2025,Zephyr HALL & RADHALL
2025-06-01,GOLD RUSH,心斎橋 SUN HALL
2025-06-02,All Good Dolls,心斎橋VARON
2025-06-04,chemical reaction Vol.46,心斎橋VARON
2025-06-07,神薙ラビッツ主催-千客万来-,246ライブハウスGABU
2025-06-08,MASH UP!,#G8 ナンバーゲート
2025-06-08,IDO-LIVE!!,GORILLA HALL OSAKA
2025-06-10,chemical reaction Vol.47,心斎橋VARON
2025-06-12,TOKYOてふてふ 東名阪対バン Killer Phase Tour,心斎橋CLAPPER
2025-06-13,Section U.G Presents VOLTAGE LEGION,アメ村DROP
2025-06-14,2東京激ロックDJパーティー,渋谷THE GAME
2025-06-14,MiMiNOKOROCK FES JAPAN in 吉祥寺 2025,planet K
2025-06-15,ファミメ！pre.『Operation iD』,渋谷FOWS
2025-06-15,エキセントリックトーキョー,duo MUSIC EXCHANGE
2025-06-16,モブトーク番外編〜鈴木の好きな人を集めました〜,Good Rack
2025-06-17,Synchro Sensation Vol.9,心斎橋VARON
2025-06-18,PIEN presentsPassAge Point in OSAKAVol.9,梅田BANGBOO
2025-06-19,浮世茶会- ぱーティーREMIX -,FANJ Twice
2025-06-21,KiLLiNG ME Vol.32,Shinjuku HEIST
2025-06-21,屋根裏 vol.31,新高円寺LOFTX
2025-06-22,B.L.U.E,西川口Hearts
2025-06-22,「解放区-KOSAKU-」,チェルシーホテル
2025-06-24,chemical reaction Vol.49,心斎橋VARON
2025-06-25,｢兴高采烈」,京橋クンフーキック
2025-06-27,HYBIID MUSIC SPACE vol.2,心斎橋KuRaGe
2025-06-28,ABSOP pre. SAVIOURS,心斎橋VARON
2025-06-29,GEM JAM FES！,#G8 ナンバーゲート
2025-06-30,TRY CROSS IDOL Fes,心斎橋VARON
2025-07-01,風神雷神　夏の陣,心斎橋VARON
2025-07-03,IDO-LIVE!!,Music Club JANUS
2025-07-06,AIMING,FANJ twice
2025-07-06,AIMIAおのせりちゃん。生誕公演,FANJ twice
